0712.HK	卡姆丹克太陽能
0713.HK	世界（集團）
0715.HK	中泛控股
0716.HK	勝獅貨櫃
0717.HK	英皇證券
0718.HK	太和控股
0719.HK	山東新華製藥股份
0720.HK	意達利控股
0722.HK	聯合醫務
0723.HK	信保環球控股
0724.HK	瑞鑫國際集團
0725.HK	恆都集團
0726.HK	築友智造科技
0727.HK	皇冠環球集團
0728.HK	中國電信
0729.HK	五龍電動車
0730.HK	SHOUGANG GRAND
0731.HK	森信紙業集團
0732.HK	信利國際
0733.HK	合富輝煌
0736.HK	中國置業投資
0737.HK	灣區發展
0738.HK	萊爾斯丹
0743.HK	亞洲水泥（中國）
0745.HK	中國國家文化產業
0746.HK	理文化工
0747.HK	瀋陽公用發展股份
0750.HK	水發興業能源
0751.HK	創維集團
0752.HK	PICO FAR EAST
0753.HK	中國國航
0754.HK	合生創展集團
0755.HK	上海証大
0756.HK	森美控股
0757.HK	陽光能源
0758.HK	新華聯資本
0759.HK	CEC INT'L HOLD
0760.HK	新天地產集團
0762.HK	中國聯通
0763.HK	中興通訊
0764.HK	永恒策略
0765.HK	PERFECTECH INTL
0766.HK	中盈集團控股
0767.HK	亞太絲路投資
0769.HK	中國稀土
0771.HK	自動系統
0772.HK	閱文集團
0775.HK	長江生命科技
0776.HK	帝國集團環球控股
0777.HK	網龍
0780.HK	同程藝龍
0784.HK	凌銳控股
0787.HK	利標品牌
0788.HK	中國鐵塔
0789.HK	雅天妮集團
0794.HK	錦勝集團（控股）
0797.HK	第七大道
0798.HK	中電光谷
0799.HK	IGG
0800.HK	Ａ８新媒體
0801.HK	金衛醫療
0802.HK	中國錢包
0803.HK	昌興國際
0804.HK	鼎石資本
0806.HK	惠理集團
0807.HK	上海實業環境
0809.HK	大成生化科技
0811.HK	新華文軒
0812.HK	西證國際證券
0813.HK	世茂房地產
0814.HK	北京京客隆
0815.HK	中國白銀集團
0816.HK	華電福新
0817.HK	中國金茂
0818.HK	高陽科技
0819.HK	天能動力
0821.HK	匯盈控股
0822.HK	嘉瑞國際
0823.HK	領展房產基金
0825.HK	新世界百貨中國
0826.HK	天工國際
0827.HK	玖源集團
0828.HK	王朝酒業
0829.HK	神冠控股
0830.HK	中國建築興業
0831.HK	利亞零售
0832.HK	建業地產
0833.HK	華訊
0834.HK	康大食品
0836.HK	華潤電力
0837.HK	譚木匠
0838.HK	億和控股
0839.HK	中教控股
0840.HK	天業節水
0841.HK	木薯資源
0842.HK	理士國際
0844.HK	廣泰國際控股
0845.HK	恒盛地產
0846.HK	明發集團
0848.HK	茂業國際
0850.HK	久康國際
0851.HK	盛源控股
0852.HK	海峽石油化工
0853.HK	微創醫療
0854.HK	威雅利
0855.HK	中國水務
0856.HK	偉仕佳杰
0857.HK	中國石油股份
0858.HK	精優藥業
0859.HK	中昌國際控股
0860.HK	力世紀
0861.HK	神州控股
0862.HK	遠見控股
0863.HK	ＢＣ科技集團
0864.HK	永利地產發展
0865.HK	建德國際控股
0866.HK	中國秦發
0867.HK	康哲藥業
0868.HK	信義玻璃
0869.HK	彩星玩具
0871.HK	中國疏浚環保
0872.HK	啟迪國際
0874.HK	白雲山
0875.HK	中國金控
0876.HK	佳兆業健康
0877.HK	昂納科技集團
0878.HK	金朝陽集團
0880.HK	澳博控股
0881.HK	中升控股
0882.HK	天津發展
0883.HK	中國海洋石油
0884.HK	旭輝控股集團
0885.HK	仁天科技控股
0886.HK	銀基集團
0887.HK	英皇鐘錶珠寶
0888.HK	貝森金融
0889.HK	連達科技控股
0891.HK	利邦
0893.HK	中國鐵鈦
0894.HK	萬裕科技
0895.HK	東江環保
0896.HK	興勝創建
0897.HK	位元堂
0898.HK	萬事昌國際
0899.HK	亞洲資源
0900.HK	AEON CREDIT
0902.HK	華能國際電力股份
0904.HK	中綠
0906.HK	中糧包裝
0907.HK	高雅光學
0908.HK	珠海控股投資
0910.HK	中國三迪
0911.HK	前海健康
0912.HK	信佳國際
0914.HK	海螺水泥
0915.HK	道和環球
0916.HK	龍源電力
0918.HK	國能國際資產
0919.HK	現代美容
0921.HK	海信家電
0922.HK	安賢園中國
0923.HK	綜合環保集團
0924.HK	坤集團
0925.HK	北京建設
0926.HK	碧生源
0927.HK	富士高實業
0928.HK	蓮和醫療
0929.HK	國際精密
0931.HK	中國天然氣
0932.HK	順騰國際控股
0933.HK	光匯石油
0934.HK	中石化冠德
0935.HK	龍翔集團
0936.HK	鵬程亞洲
0938.HK	民生國際
0939.HK	建設銀行
0941.HK	中國移動
0943.HK	意科控股
0945.HK	宏利金融－Ｓ
0947.HK	摩比發展
0948.HK	阿爾法企業
0950.HK	李氏大藥廠
0951.HK	超威動力
0952.HK	中國通海金融
0953.HK	邵氏兄弟控股
0954.HK	常茂生物
0956.HK	新天綠色能源
0959.HK	世紀娛樂國際
0960.HK	龍湖集團
0966.HK	中國太平
0967.HK	桑德國際
0968.HK	信義光能
0969.HK	華聯國際
0970.HK	耀萊集團
0973.HK	L'OCCITANE
0974.HK	中國順客隆
0975.HK	MONGOL MINING
0976.HK	齊合環保
0978.HK	招商局置地
0979.HK	綠色能源科技集團
0980.HK	聯華超市
0981.HK	中芯國際
0982.HK	華金國際資本
0983.HK	瑞安建業
0984.HK	永旺
0985.HK	中譽集團
0986.HK	中國環保能源
0987.HK	中國再生能源投資
0988.HK	絲路物流控股
0989.HK	廣澤國際發展
0990.HK	榮暉國際
0991.HK	大唐發電
0992.HK	聯想集團
0993.HK	華融金控
0994.HK	中天宏信
0995.HK	安徽皖通高速公路
0996.HK	嘉年華國際
0997.HK	普匯中金國際
0998.HK	中信銀行
0999.HK	I.T
1000.HK	北青傳媒
1001.HK	滬港聯合
1002.HK	威鋮國際
1003.HK	歡喜傳媒
1004.HK	中國智慧能源
1005.HK	MATRIX HOLDINGS
1006.HK	長壽花食品
1007.HK	龍輝國際控股
